Organization,Repository,Language,Selected,Reasons for exclusion
freeCodeCamp,freeCodeCamp,JavaScript,FALSE,contributing size < 0.5kB.
vuejs,vue,JavaScript,TRUE,
facebook,react,JavaScript,FALSE,contributing size < 0.5kB.
twbs,bootstrap,JavaScript,TRUE,
airbnb,javascript,JavaScript,FALSE,contributing is missing.
facebook,react-native,JavaScript,TRUE,
facebook,create-react-app,JavaScript,TRUE,
trekhleb,javascript-algorithms,JavaScript,TRUE,
axios,axios,JavaScript,TRUE,
nodejs,node,JavaScript,TRUE,
FortAwesome,Font-Awesome,JavaScript,TRUE,
mrdoob,three.js,JavaScript,TRUE,
angular,angular.js,JavaScript,TRUE,
webpack,webpack,JavaScript,TRUE,
jquery,jquery,JavaScript,TRUE,
hakimel,reveal.js,JavaScript,TRUE,
atom,atom,JavaScript,TRUE,
vercel,next.js,JavaScript,TRUE,
socketio,socket.io,JavaScript,FALSE,contributing is missing.
chartjs,Chart.js,JavaScript,FALSE,contributing is missing.
expressjs,express,JavaScript,TRUE,
typicode,json-server,JavaScript,FALSE,contributing is missing.
goldbergyoni,nodebestpractices,JavaScript,FALSE,contributing is missing.
Semantic-Org,Semantic-UI,JavaScript,TRUE,
awesome-selfhosted,awesome-selfhosted,JavaScript,TRUE,
h5bp,html5-boilerplate,JavaScript,TRUE,
gatsbyjs,gatsby,JavaScript,FALSE,contributing size < 0.5kB.
lodash,lodash,JavaScript,TRUE,
resume,resume.github.com,JavaScript,FALSE,contributing is missing.
gothinkster,realworld,JavaScript,FALSE,contributing size < 0.5kB.
moment,moment,JavaScript,TRUE,
yangshun,tech-interview-handbook,JavaScript,FALSE,contributing size < 0.5kB.
apache,incubator-echarts,JavaScript,TRUE,
meteor,meteor,JavaScript,TRUE,
ReactTraining,react-router,JavaScript,TRUE,
scutan90,DeepLearning-500-questions,JavaScript,FALSE,contributing is missing.
NARKOZ,hacker-scripts,JavaScript,FALSE,contributing is missing.
yarnpkg,yarn,JavaScript,FALSE,"contributing size < 0.5kB.
contributing is not in English."
jaywcjlove,awesome-mac,JavaScript,TRUE,
ryanmcdermott,clean-code-javascript,JavaScript,FALSE,contributing is missing.
Dogfalo,materialize,JavaScript,TRUE,
prettier,prettier,JavaScript,TRUE,
babel,babel,JavaScript,TRUE,
nwjs,nw.js,JavaScript,FALSE,contributing is missing.
serverless,serverless,JavaScript,TRUE,
parcel-bundler,parcel,JavaScript,TRUE,
juliangarnier,anime,JavaScript,FALSE,contributing is missing.
sveltejs,svelte,JavaScript,TRUE,
impress,impress.js,JavaScript,FALSE,contributing is missing.
ColorlibHQ,AdminLTE,JavaScript,FALSE,contributing is missing.
TryGhost,Ghost,JavaScript,TRUE,
Unitech,pm2,JavaScript,TRUE,
